observation_date,PPI_YoY,IP_YoY
1999-01-01,-4.92,117.9
1999-02-01,-4.89,102.1
1999-03-01,-4.62,109.0
1999-04-01,-3.86,109.1
1999-05-01,-3.42,108.9
1999-06-01,-3.6,109.1
1999-07-01,-2.51,109.3
1999-08-01,-2.3,109.5
1999-09-01,-2.1,108.2
1999-10-01,-0.74,107.0
1999-11-01,-1.04,107.6
1999-12-01,-0.8,107.4
2000-01-01,0.0,108.9
2000-02-01,1.0,112.0
2000-03-01,1.9,111.9
2000-04-01,2.6,111.4
2000-05-01,2.5,111.5
2000-06-01,3.0,112.2
2000-07-01,4.5,112.8
2000-08-01,3.9,112.8
2000-09-01,3.7,112.0
2000-10-01,3.6,111.4
2000-11-01,3.5,110.6
2000-12-01,2.8,110.4
2001-01-01,1.4,102.3
2001-02-01,0.9,119.0
2001-03-01,0.2,112.1
2001-04-01,-0.1,111.5
2001-05-01,-0.2,110.2
2001-06-01,-0.6,110.1
2001-07-01,-1.3,108.1
2001-08-01,-2.0,108.1
2001-09-01,-2.9,109.5
2001-10-01,-3.1,108.8
2001-11-01,-3.7,107.9
2001-12-01,-4.0,108.7
2002-01-01,-4.2,118.6
2002-02-01,-4.2,102.7
2002-03-01,-4.0,110.9
2002-04-01,-3.1,112.1
2002-05-01,-2.6,112.9
2002-06-01,-2.5,112.4
2002-07-01,-2.3,112.8
2002-08-01,-1.7,112.7
2002-09-01,-1.4,113.8
2002-10-01,-1.0,114.2
2002-11-01,-0.4,114.5
2002-12-01,0.4,114.9
2003-01-01,2.4,114.8
2003-02-01,4.0,119.8
2003-03-01,4.6,116.9
2003-04-01,3.6,114.9
2003-05-01,2.0,113.7
2003-06-01,1.3,116.9
2003-07-01,1.4,116.5
2003-08-01,1.4,117.1
2003-09-01,1.4,116.3
2003-10-01,1.2,117.2
2003-11-01,1.9,117.9
2003-12-01,3.0,118.1
2004-01-01,3.5,107.2
2004-02-01,3.5,123.2
2004-03-01,3.9,119.4
2004-04-01,5.0,119.1
2004-05-01,5.7,117.5
2004-06-01,6.4,116.2
2004-07-01,6.4,115.5
